village,population_2010,latitude,longitude,type,adm_center,district,region,language
Куръя,73,61.6850252,57.2461643,село,Куръя,Троицко-Печорский район,Республика Коми,Komi-Zyrian
Куръядор,13,61.8309104,51.4393105,деревня,Маджа,Корткеросский район,Республика Коми,Komi-Zyrian
Кучмозерье,35,63.5282925,49.5727841,деревня,Глотово,Удорский район,Республика Коми,Komi-Zyrian
Кушшор,29,66.1683269,56.5722017,деревня,NA,Городской округ Усинск,Республика Коми,Komi-Zyrian
Кылтово,42,62.3337203,50.9839098,посёлок,Емва,Княжпогостский район,Республика Коми,Komi-Zyrian
Кыркещ,10,62.7039058,50.9155425,деревня,Емва,Княжпогостский район,Республика Коми,Komi-Zyrian
Кырныша,137,62.1107805,54.2554215,деревня,Помоздино,Усть-Куломский район,Республика Коми,Komi-Zyrian
Кырс,12,62.194925,50.0829991,деревня,Кожмудор,Усть-Вымский район,Республика Коми,Komi-Zyrian
Кырта,66,64.0526444,57.6893351,посёлок,Подчерье,Вуктыл,Республика Коми,Komi-Zyrian
Кырув,46,62.1235703,49.7311345,деревня,Вотча,Сысольский район,Республика Коми,Komi-Zyrian
Кэмдин,302,63.1776762,54.4418574,посёлок,NA,Городской округ Ухта,Республика Коми,Komi-Zyrian
Кэччойяг,48,61.9535752,50.6423498,посёлок,Часово,Сыктывдинский район,Республика Коми,Komi-Zyrian
Лаборем,93,61.8723247,52.6242732,деревня,Керес,Корткеросский район,Республика Коми,Komi-Zyrian
Лазурный,16,65.6344561,59.0488917,посёлок,NA,Городской округ Инта,Республика Коми,Komi-Zyrian
Лайково,86,63.0891329,54.4677585,деревня,NA,Городской округ Ухта,Республика Коми,Komi-Zyrian
Ласта,286,64.9263047,53.8100576,деревня,Ижма,Ижемский район,Республика Коми,Komi-Zyrian
Латьюга,36,64.2911815,48.8023219,деревня,Большая Пысса,Удорский район,Республика Коми,Komi-Zyrian
Лебяжск,125,61.5672768,54.5526089,деревня,Парч,Усть-Куломский район,Республика Коми,Komi-Zyrian
Лёвкинская,13,64.7711023,51.0799055,деревня,Замежная,Усть-Цилемский район,Республика Коми,Komi-Zyrian
Лёждуг,39,67.0002174,52.3488741,деревня,Ёрмица,Усть-Цилемский район,Республика Коми,Komi-Zyrian
Лемты,221,63.8708763,56.8377445,посёлок,Дутово,Вуктыл,Республика Коми,Komi-Zyrian
Лемтыбож,228,63.8588839,56.9422523,посёлок,Лемтыбож,Вуктыл,Республика Коми,Komi-Zyrian
Летка,2679,59.5965748,49.4158942,село,Летка,Прилузский район,Республика Коми,Komi-Zyrian
Ловозеро,NA,68.0058828,35.0172148,NA,NA,Ловозерский район,Мурманская область,Komi-Zyrian
Логинъяг,267,61.2995397,53.9491766,посёлок,Зимстан,Усть-Куломский район,Республика Коми,Komi-Zyrian
Лойма,237,60.5391763,48.7877076,село,Лойма,Прилузский район,Республика Коми,Komi-Zyrian
Лопъювад,362,61.7456471,55.1907671,посёлок,Тимшер,Усть-Куломский район,Республика Коми,Komi-Zyrian
Лопыдино,87,61.1382156,52.1360716,деревня,Намск,Корткеросский район,Республика Коми,Komi-Zyrian
Луг,20,62.7880668,50.6183227,деревня,Туръя,Княжпогостский район,Республика Коми,Komi-Zyrian
Луговой,488,65.1641968,57.1067607,посёлок,Путеец,Печора,Республика Коми,Komi-Zyrian
Лунпока,0,61.7889127,53.0071144,деревня,Руч,Усть-Куломский район,Республика Коми,Komi-Zyrian
Лунь,13,62.2350561,52.4952991,деревня,Богородск,Корткеросский район,Республика Коми,Komi-Zyrian
Лыаёль,382,63.5569195,53.9066162,посёлок,Сосногорск,Сосногорск,Республика Коми,Komi-Zyrian
Лыаты,93,62.1194174,50.1900186,деревня,Кожмудор,Усть-Вымский район,Республика Коми,Komi-Zyrian
Лэзым,413,61.4448401,50.5781517,село,Лэзым,Сыктывдинский район,Республика Коми,Komi-Zyrian
Ляли,258,62.2877544,50.6804318,посёлок,Серёгово,Княжпогостский район,Республика Коми,Komi-Zyrian
Маджа,331,61.8513024,51.4675672,село,Маджа,Корткеросский район,Республика Коми,Komi-Zyrian
Мадмас,793,62.0259838,49.3227317,посёлок,Мадмас,Усть-Вымский район,Республика Коми,Komi-Zyrian
Макар-Ыб,51,63.6367956,49.4543863,деревня,Глотово,Удорский район,Республика Коми,Komi-Zyrian
Малая Кужба,164,61.7677002,53.6759693,деревня,Кужба,Усть-Куломский район,Республика Коми,Komi-Zyrian
Малая Пера,469,64.180857,54.8406551,посёлок,Сосногорск,Сосногорск,Республика Коми,Komi-Zyrian
Мале,46,61.9989643,54.3399922,деревня,Пожег,Усть-Куломский район,Республика Коми,Komi-Zyrian
Малое Галово,NA,65.2861944,52.9365213,NA,NA,Ижемский район,Республика Коми,Komi-Zyrian
Малый Аныб,4,61.8344953,53.0443976,деревня,Аныб,Усть-Куломский район,Республика Коми,Komi-Zyrian
Мамыль,15,61.9725845,56.8272599,деревня,Знаменка,Троицко-Печорский район,Республика Коми,Komi-Zyrian
Мандач,212,61.693145,50.185386,посёлок,Мандач,Сыктывдинский район,Республика Коми,Komi-Zyrian
Мартиты,33,61.6722489,51.8279706,посёлок,Усть-Лэкчим,Корткеросский район,Республика Коми,Komi-Zyrian
Медвежка,196,66.4601135,52.3577836,посёлок,Новый Бор,Усть-Цилемский район,Республика Коми,Komi-Zyrian
Медвежская,79,64.9424422,57.5812654,деревня,Озёрный,Печора,Республика Коми,Komi-Zyrian
Межадор,65,61.1532597,50.3367416,село,Межадор,Сысольский район,Республика Коми,Komi-Zyrian
Междуреченск,1418,63.2182352,48.5627304,пгт,пгт Междуреченск,Удорский район,Республика Коми,Komi-Zyrian
Межег,164,62.0657072,49.4047259,село,Межег,Усть-Вымский район,Республика Коми,Komi-Zyrian
Мелентьево,37,63.9170865,48.5668944,деревня,Чернутьево,Удорский район,Республика Коми,Komi-Zyrian
Мескашор,54,66.6149056,62.5250948,посёлок,NA,Городской округ Воркута,Республика Коми,Komi-Zyrian
Мещура,297,63.3389537,50.9168794,посёлок,Мещура,Княжпогостский район,Республика Коми,Komi-Zyrian
Микунь,10730,62.3582392,50.0821802,город,Микунь,Усть-Вымский район,Республика Коми,Komi-Zyrian
Мирный,59,63.19114,55.823164,посёлок,Митрофан-Дикост,Троицко-Печорский район,Республика Коми,Komi-Zyrian
Митрофан-Дикост,351,63.1860645,56.1314183,посёлок,Митрофан-Дикост,Троицко-Печорский район,Республика Коми,Komi-Zyrian
Митрофаново,6,63.1875341,56.0384664,деревня,Митрофан-Дикост,Троицко-Печорский район,Республика Коми,Komi-Zyrian
Мичаёль,0,66.1062219,57.3810045,посёлок,NA,Городской округ Усинск,Республика Коми,Komi-Zyrian
Миша-Яг,734,65.2115305,57.3874436,посёлок,Путеец,Печора,Республика Коми,Komi-Zyrian
Мишаково,23,60.6414514,49.3184829,деревня,Занулье,Прилузский район,Республика Коми,Komi-Zyrian
Мишкин-Ёль,15,62.6181331,56.8350814,посёлок,Усть-Илыч,Троицко-Печорский район,Республика Коми,Komi-Zyrian
Модлапов,197,62.1815899,54.1989444,деревня,Помоздино,Усть-Куломский район,Республика Коми,Komi-Zyrian
Мозындор,918,62.9347633,49.1825981,посёлок,Вожский,Удорский район,Республика Коми,Komi-Zyrian
Мордино,1095,61.3520662,51.8955262,село,Мордино,Корткеросский район,Республика Коми,Komi-Zyrian
Морово,9,61.4995741,50.6081838,деревня,Лэзым,Сыктывдинский район,Республика Коми,Komi-Zyrian
Мохча,1046,65.0062869,53.8330957,село,Мохча,Ижемский район,Республика Коми,Komi-Zyrian
Мошъюга,342,64.8564597,53.750358,деревня,Мохча,Ижемский район,Республика Коми,Komi-Zyrian
Мужи,NA,65.400004,64.7018584,NA,NA,Шурышкарский район,Ямало-Ненецкий автономный округ,Komi-Zyrian
Мульда,0,67.4822125,63.6709839,пгт,NA,Городской округ Воркута,Республика Коми,Komi-Zyrian
Мурманск,NA,68.9706637,33.0749718,NA,NA,город Мурманск,Мурманская область,Komi-Zyrian
Мутный Материк,977,65.9565066,55.1533636,село,NA,Городской округ Усинск,Республика Коми,Komi-Zyrian
Муфтюга,99,64.1531975,46.7427404,деревня,Чупрово,Удорский район,Республика Коми,Komi-Zyrian
Мучкас,21,64.0196089,48.5157977,деревня,Чернутьево,Удорский район,Республика Коми,Komi-Zyrian
Мыёлдино,460,61.7673014,54.896512,село,Мыёлдино,Усть-Куломский район,Республика Коми,Komi-Zyrian
Мыза,36,65.6988918,52.1468948,деревня,Уег,Усть-Цилемский район,Республика Коми,Komi-Zyrian
Мыла,97,65.4253683,50.8808137,деревня,Трусово,Усть-Цилемский район,Республика Коми,Komi-Zyrian
Мылва,604,62.6845471,56.2019001,посёлок,Мылва,Троицко-Печорский район,Республика Коми,Komi-Zyrian
Мырпонаыб,2,60.5620922,51.039645,деревня,Ужга,Койгородский район,Республика Коми,Komi-Zyrian
Набережный,403,65.1299213,57.0368768,посёлок,Кожва,Печора,Республика Коми,Komi-Zyrian
Наволок,27,61.8935776,52.6625014,деревня,Подъельск,Корткеросский район,Республика Коми,Komi-Zyrian
Назар,29,62.1294953,50.2110953,деревня,Кожмудор,Усть-Вымский район,Республика Коми,Komi-Zyrian
Намск,419,61.1829142,52.0993507,посёлок,Намск,Корткеросский район,Республика Коми,Komi-Zyrian
Нарьян-Мар,NA,67.6379965,53.0068636,NA,NA,город Нарян-Мар,Ненецкий автономный округ,Komi-Zyrian
Нёбдино,456,61.9140788,52.1422916,село,Нёбдино,Корткеросский район,Республика Коми,Komi-Zyrian
Нельмин-Нос,NA,67.9837755,52.9590482,NA,NA,Заполярный район,Ненецкий автономный округ,Komi-Zyrian
Нерица,217,65.3038184,52.6918507,село,Нерица,Усть-Цилемский район,Республика Коми,Komi-Zyrian
Несь,NA,66.6008745,44.6787398,NA,NA,Заполярный район,Ненецкий автономный округ,Komi-Zyrian
Нившера,1318,62.3586391,52.9203817,село,Нившера,Корткеросский район,Республика Коми,Komi-Zyrian
Нижние Коквицы,21,62.1588561,50.3488934,деревня,Кожмудор,Усть-Вымский район,Республика Коми,Komi-Zyrian
Нижний Выльыб,10,63.5707766,48.7159355,деревня,пгт Усогорск,Удорский район,Республика Коми,Komi-Zyrian
Нижний Одес,9680,63.643744,54.8554751,пгт,Нижний Одес,Сосногорск,Республика Коми,Komi-Zyrian
Нижний Ярашъю,209,62.0733909,54.2916701,посёлок,Пожег,Усть-Куломский район,Республика Коми,Komi-Zyrian
Нижняя Омра,791,62.7559891,55.8254985,посёлок,Нижняя Омра,Троицко-Печорский район,Республика Коми,Komi-Zyrian
Нижняя Пёша,NA,66.7521112,47.7605132,NA,NA,Заполярный район,Ненецкий автономный округ,Komi-Zyrian
Никита,0,67.0430679,63.8004402,деревня,NA,Городской округ Воркута,Республика Коми,Komi-Zyrian
Новик,18,61.8940475,52.7195454,деревня,Подъельск,Корткеросский район,Республика Коми,Komi-Zyrian
Новикбож,434,66.0283186,56.8822595,деревня,NA,Городской округ Усинск,Республика Коми,Komi-Zyrian
Новый Бор,722,66.7218252,52.3102401,посёлок,Новый Бор,Усть-Цилемский район,Республика Коми,Komi-Zyrian
Нонбург,89,65.5624352,50.6242418,деревня,Трусово,Усть-Цилемский район,Республика Коми,Komi-Zyrian
Носим,262,61.707215,53.6297894,село,Носим,Усть-Куломский район,Республика Коми,Komi-Zyrian
Ношуль,1119,60.1492473,49.4925223,село,Ношуль,Прилузский район,Республика Коми,Komi-Zyrian
Нювчим,511,61.3970302,50.738669,посёлок,Нювчим,Сыктывдинский район,Республика Коми,Komi-Zyrian
Нюмыд,0,61.1721297,52.8561683,посёлок,Крутоборка,Усть-Куломский район,Республика Коми,Komi-Zyrian
Нючпас,192,60.6798195,51.4800472,посёлок,Нючпас,Койгородский район,Республика Коми,Komi-Zyrian
Няксимволь,NA,62.4308606,60.8825271,NA,NA,Берёзовский район,Ханты-Мансийский автономный округ – Югра,Komi-Zyrian
Няшабож,614,65.4647,53.8474549,село,Няшабож,Ижемский район,Республика Коми,Komi-Zyrian
Объячево,5699,60.3345693,49.6197009,село,Объячево,Прилузский район,Республика Коми,Komi-Zyrian
Овгорт,NA,64.8272896,63.9761754,NA,NA,Шурышкарский район,Ямало-Ненецкий автономный округ,Komi-Zyrian
Одесдино,NA,63.404219,54.364729,NA,NA,NA,NA,Komi-Zyrian
Озёрный,682,65.0894525,57.1628902,посёлок,Озёрный,Печора,Республика Коми,Komi-Zyrian
Озъяг,496,61.8208154,53.443561,посёлок,Кужба,Усть-Куломский район,Республика Коми,Komi-Zyrian
Озынпом,24,60.97498,50.2503027,деревня,Пыёлдино,Сысольский район,Республика Коми,Komi-Zyrian
Оквад,43,62.2040501,50.2597695,деревня,Усть-Вымь,Усть-Вымский район,Республика Коми,Komi-Zyrian
Оксино,NA,67.5909486,52.1878292,NA,NA,Заполярный район,Ненецкий автономный округ,Komi-Zyrian
Октябрьский,0,67.5706601,64.1219221,пгт,NA,Городской округ Воркута,Республика Коми,Komi-Zyrian
Окунев Нос,567,66.2521842,52.5659199,село,Окунев Нос,Усть-Цилемский район,Республика Коми,Komi-Zyrian
Онежье,60,62.7664587,50.6929677,деревня,Шошка,Княжпогостский район,Республика Коми,Komi-Zyrian
Оньмесь,126,59.9301397,48.8477736,деревня,Верхолузье,Прилузский район,Республика Коми,Komi-Zyrian
Пажга,1362,61.3954778,50.5792812,село,Пажга,Сыктывдинский район,Республика Коми,Komi-Zyrian
Палауз,159,60.7109534,50.2754901,село,Палауз,Сысольский район,Республика Коми,Komi-Zyrian
Палевицы,612,61.9939087,50.3670933,село,Палевицы,Сыктывдинский район,Республика Коми,Komi-Zyrian
Палью,190,62.511803,56.8721666,посёлок,Усть-Илыч,Троицко-Печорский район,Республика Коми,Komi-Zyrian
Паркерос,0,61.9292118,52.1625669,деревня,Нёбдино,Корткеросский район,Республика Коми,Komi-Zyrian
Парма,6,61.7694009,54.0089761,деревня,Усть-Кулом,Усть-Куломский район,Республика Коми,Komi-Zyrian
Парма,6,65.9482569,57.4538516,деревня,Усть-Кулом,Усть-Куломский район,Республика Коми,Komi-Zyrian
Парч,136,61.6082904,54.7010031,село,Парч,Усть-Куломский район,Республика Коми,Komi-Zyrian
Парчег,211,61.9337967,50.7715,деревня,Зеленец,Сыктывдинский район,Республика Коми,Komi-Zyrian
Парчим,29,61.3832164,50.5948178,деревня,Пажга,Сыктывдинский район,Республика Коми,Komi-Zyrian
Пасвомын,4,62.2472027,52.6274619,деревня,Богородск,Корткеросский район,Республика Коми,Komi-Zyrian
Пасма,0,63.9395418,47.1266406,деревня,Важгорт,Удорский район,Республика Коми,Komi-Zyrian
Паспом,346,61.6782492,53.6077666,посёлок,Носим,Усть-Куломский район,Республика Коми,Komi-Zyrian
Пачгино,26,61.7645093,57.5290008,деревня,Куръя,Троицко-Печорский район,Республика Коми,Komi-Zyrian
Певъю,2,62.4346942,49.8908952,посёлок,Вежайка,Усть-Вымский район,Республика Коми,Komi-Zyrian
Пезмег,318,61.8247567,51.7135048,село,Пезмег,Корткеросский район,Республика Коми,Komi-Zyrian
Первомайский,932,61.1173289,50.2758823,посёлок,Куниб,Сысольский район,Республика Коми,Komi-Zyrian
Первомайский,932,63.4026132,53.5738377,посёлок,Куниб,Сысольский район,Республика Коми,Komi-Zyrian
Песчанка,55,65.2617305,57.0330844,деревня,Кожва,Печора,Республика Коми,Komi-Zyrian
Петрун,NA,66.4729886,60.7399565,NA,NA,городской округ Инта,Республика Коми,Komi-Zyrian
Печенга,NA,69.5517994,31.1996735,NA,NA,Печенгский,Мурманская область,Komi-Zyrian
Печора,43105,65.1155035,57.1616254,город,Печора,Печора,Республика Коми,Komi-Zyrian
Пиль-Егор,96,65.4291515,53.5937376,деревня,Няшабож,Ижемский район,Республика Коми,Komi-Zyrian
Подзь,872,60.6693619,50.354538,посёлок,Подзь,Койгородский район,Республика Коми,Komi-Zyrian
Подтыбок,1124,61.9062488,52.885275,посёлок,Подтыбок,Корткеросский район,Республика Коми,Komi-Zyrian
Подчерье,710,63.9396178,57.5606392,село,Подчерье,Вуктыл,Республика Коми,Komi-Zyrian
Подъельск,585,61.9191455,52.6929683,село,Подъельск,Корткеросский район,Республика Коми,Komi-Zyrian
Пожег,424,61.9812316,54.330793,село,Пожег,Усть-Куломский район,Республика Коми,Komi-Zyrian
Пожегдин,352,62.0074913,54.3290992,деревня,Пожег,Усть-Куломский район,Республика Коми,Komi-Zyrian
Пожня,352,63.5593732,54.000667,деревня,Сосногорск,Сосногорск,Республика Коми,Komi-Zyrian
Позтыкерес,176,61.5689711,51.5513232,село,Позтыкерес,Корткеросский район,Республика Коми,Komi-Zyrian
Позялэм,36,61.974648,50.1637672,посёлок,Слудка,Сыктывдинский район,Республика Коми,Komi-Zyrian
Покча,312,62.9448863,56.1207293,село,Покча,Троицко-Печорский район,Республика Коми,Komi-Zyrian
Политовка,1,62.3806648,50.7120795,деревня,Серёгово,Княжпогостский район,Республика Коми,Komi-Zyrian
Политово,NA,64.0846876,48.8616121,NA,NA,Удорский район,Республика Коми,Komi-Zyrian
Половники,2,62.4849376,50.797883,деревня,Емва,Княжпогостский район,Республика Коми,Komi-Zyrian
Поляна,726,63.5454281,54.0750957,посёлок,Сосногорск,Сосногорск,Республика Коми,Komi-Zyrian
Помоздино,1390,62.1939074,54.1826391,село,Помоздино,Усть-Куломский район,Республика Коми,Komi-Zyrian
Порожск,101,63.9176062,53.7469086,деревня,Сосногорск,Сосногорск,Республика Коми,Komi-Zyrian
Поромес,104,64.1699857,53.5626148,деревня,NA,Городской округ Ухта,Республика Коми,Komi-Zyrian
Поромшор,17,59.6760104,49.4160742,деревня,Летка,Прилузский район,Республика Коми,Komi-Zyrian
Поруб,37,60.7377462,48.9801433,деревня,Спаспоруб,Прилузский район,Республика Коми,Komi-Zyrian
Поруб-Кеповская,64,60.7645146,48.9904844,деревня,Спаспоруб,Прилузский район,Республика Коми,Komi-Zyrian
Праскан,44,66.3147638,56.1040574,деревня,NA,Городской округ Усинск,Республика Коми,Komi-Zyrian
Приполярный,0,66.452067,57.155373,посёлок,NA,Городской округ Усинск,Республика Коми,Komi-Zyrian
Приуральский,450,62.6244727,57.4657764,посёлок,Приуральский,Троицко-Печорский район,Республика Коми,Komi-Zyrian
Приуральское,318,64.7345511,57.8723199,село,Приуральское,Печора,Республика Коми,Komi-Zyrian
Причал,81,64.5658009,56.3144805,посёлок,Каджером,Печора,Республика Коми,Komi-Zyrian
Прокопьевка,6,59.280832,49.6773591,деревня,Куратово,Сысольский район,Республика Коми,Komi-Zyrian
Прокопьевка,6,61.8940792,50.1545845,деревня,Куратово,Сысольский район,Республика Коми,Komi-Zyrian
Промышленный,0,67.6069945,63.9157209,пгт,NA,Городской округ Воркута,Республика Коми,Komi-Zyrian
Пузла,317,62.4288303,54.6554231,деревня,Вольдино,Усть-Куломский район,Республика Коми,Komi-Zyrian
Пустыня,NA,64.5081118,48.4945638,NA,NA,Ижемский район,Республика Коми,Komi-Zyrian
Путеец,1116,65.1710387,57.079736,пгт,Путеец,Печора,Республика Коми,Komi-Zyrian
Пычим,15,61.9656565,50.3695259,посёлок,Палевицы,Сыктывдинский район,Республика Коми,Komi-Zyrian
Раевсикт,61,60.9662366,50.2413334,деревня,Куратово,Сысольский район,Республика Коми,Komi-Zyrian
Разгорт,20,61.3573323,50.5659217,деревня,Пажга,Сыктывдинский район,Республика Коми,Komi-Zyrian
Разгорт,20,63.4772028,48.6970905,деревня,Пажга,Сыктывдинский район,Республика Коми,Komi-Zyrian
Раковица,11,62.6421957,50.9138426,деревня,Емва,Княжпогостский район,Республика Коми,Komi-Zyrian
Ракпас,665,62.6810661,51.1081397,посёлок,Тракт,Княжпогостский район,Республика Коми,Komi-Zyrian
Речной,4,61.7189335,57.2993831,посёлок,Куръя,Троицко-Печорский район,Республика Коми,Komi-Zyrian
Роговая,69,66.5369763,60.571385,деревня,NA,Городской округ Инта,Республика Коми,Komi-Zyrian
Родионово,1,65.4925525,57.0561091,деревня,Кожва,Печора,Республика Коми,Komi-Zyrian
Ропча,198,63.0350608,52.306212,посёлок,Иоссер,Княжпогостский район,Республика Коми,Komi-Zyrian
Рочево,261,65.4728438,51.5595775,деревня,Трусово,Усть-Цилемский район,Республика Коми,Komi-Zyrian
Русаново,262,62.9284926,56.1760354,посёлок,Покча,Троицко-Печорский район,Республика Коми,Komi-Zyrian
Русановская,13,62.3327822,52.8726304,деревня,Нившера,Корткеросский район,Республика Коми,Komi-Zyrian
Руч,767,61.8140622,53.1827368,село,Руч,Усть-Куломский район,Республика Коми,Komi-Zyrian
Рыбница,151,64.5586766,55.4778251,посёлок,Каджером,Печора,Республика Коми,Komi-Zyrian
Савапиян,107,61.4118351,50.5841004,деревня,Пажга,Сыктывдинский район,Республика Коми,Komi-Zyrian
Савинобор,15,63.5428927,56.4458489,деревня,Дутово,Вуктыл,Республика Коми,Komi-Zyrian
Салехард,NA,66.5375387,66.6157469,NA,NA,город Салехард,Ямало-Ненецкий автономный округ,Komi-Zyrian
Саранпауль,NA,64.2608627,60.9108354,NA,NA,Берёзовский район,Ханты-Мансийский автономный округ - Югра,Komi-Zyrian
Светлый Родник,3,61.691564,57.961706,деревня,Комсомольск-на-Печоре,Троицко-Печорский район,Республика Коми,Komi-Zyrian
Северный,9023,67.6003475,64.109086,пгт,NA,Городской округ Воркута,Республика Коми,Komi-Zyrian
Седкыркещ,1999,61.7247996,50.9559551,пгт,NA,Городской округ Сыктывкар,Республика Коми,Komi-Zyrian
Седтыдин,1,61.8733316,54.5809748,деревня,Пожег,Усть-Куломский район,Республика Коми,Komi-Zyrian
Седтыдор,252,60.556182,50.9919816,посёлок,Ужга,Койгородский район,Республика Коми,Komi-Zyrian
Седъю,1010,63.3960466,53.9660526,посёлок,NA,Городской округ Ухта,Республика Коми,Komi-Zyrian
Седъюдор,61,63.3989506,50.7482028,посёлок,Мещура,Княжпогостский район,Республика Коми,Komi-Zyrian
Сейда,23,67.0515132,63.0828628,посёлок,NA,Городской округ Воркута,Республика Коми,Komi-Zyrian
Сёльыб,194,63.6914892,48.5682515,деревня,Чернутьево,Удорский район,Республика Коми,Komi-Zyrian
Семуково,97,62.1832705,50.1435632,деревня,Кожмудор,Усть-Вымский район,Республика Коми,Komi-Zyrian
Сергеево-Щелья,174,65.5194271,52.1604987,деревня,Усть-Цильма,Усть-Цилемский район,Республика Коми,Komi-Zyrian
Серёгово,483,62.3290594,50.6979915,село,Серёгово,Княжпогостский район,Республика Коми,Komi-Zyrian
Сивомаскинский,525,66.6706445,62.5711,посёлок,NA,Городской округ Воркута,Республика Коми,Komi-Zyrian
Сизябск,1232,65.0652929,53.8575893,село,Сизябск,Ижемский район,Республика Коми,Komi-Zyrian
Симва,10,62.8734457,51.9203176,посёлок,Синдор,Княжпогостский район,Республика Коми,Komi-Zyrian
Синдор,2478,62.8661913,51.8991112,пгт,Синдор,Княжпогостский район,Республика Коми,Komi-Zyrian
Синдор,2478,62.8108223,51.9852739,пгт,Синдор,Княжпогостский район,Республика Коми,Komi-Zyrian
Синегорье,310,65.4489398,51.9812156,посёлок,Усть-Цильма,Усть-Цилемский район,Республика Коми,Komi-Zyrian
Скаляп,20,63.0642441,55.9635467,деревня,Покча,Троицко-Печорский район,Республика Коми,Komi-Zyrian
Скитская,152,64.9534315,51.8265748,деревня,Замежная,Усть-Цилемский район,Республика Коми,Komi-Zyrian
Скородум,494,62.1427629,54.231861,деревня,Помоздино,Усть-Куломский район,Республика Коми,Komi-Zyrian
Слудка,192,61.9527866,50.180272,село,Слудка,Прилузский район,Республика Коми,Komi-Zyrian
Смолянка,653,61.6040412,54.8045141,посёлок,Югыдъяг,Усть-Куломский район,Республика Коми,Komi-Zyrian
Соколово,374,65.3491795,57.0175449,село,Кожва,Печора,Республика Коми,Komi-Zyrian
Сордйыв,124,62.1833648,54.1399384,деревня,Помоздино,Усть-Куломский район,Республика Коми,Komi-Zyrian
Сотчемвыв,200,61.9861092,50.3129163,деревня,Палевицы,Сыктывдинский район,Республика Коми,Komi-Zyrian
Спаспоруб,605,60.6477204,49.0448987,село,Спаспоруб,Прилузский район,Республика Коми,Komi-Zyrian
Среднее Бугаево,NA,65.99317,52.5207796,NA,NA,Усть-Цилемский район,Республика Коми,Komi-Zyrian
Степановская,307,64.9735724,51.8891284,деревня,Замежная,Усть-Цилемский район,Республика Коми,Komi-Zyrian
Сторожевск,1756,61.9397482,52.3145936,село,Сторожевск,Корткеросский район,Республика Коми,Komi-Zyrian
Студенец,526,62.1635521,50.5052794,посёлок,Студенец,Усть-Вымский район,Республика Коми,Komi-Zyrian
Сыктывкар,235006,61.6689734,50.834958,город,NA,Городской округ Сыктывкар,Республика Коми,Komi-Zyrian
Сыня,375,65.3708819,58.0379832,посёлок,Путеец,Печора,Республика Коми,Komi-Zyrian
Сынянырд,24,65.993702,58.0810021,деревня,NA,Городской округ Усинск,Республика Коми,Komi-Zyrian
Сюзяыб,170,62.2261369,52.4748579,деревня,Богородск,Корткеросский район,Республика Коми,Komi-Zyrian
Сюлатуй,61,62.1442843,50.321072,деревня,Кожмудор,Усть-Вымский район,Республика Коми,Komi-Zyrian
Талица,91,59.4513033,49.5694287,деревня,Гурьевка,Прилузский район,Республика Коми,Komi-Zyrian
Талый,340,64.6103151,55.690804,посёлок,Каджером,Печора,Республика Коми,Komi-Zyrian
Тарачево,2,60.411931,49.5320249,деревня,Читаево,Прилузский район,Республика Коми,Komi-Zyrian
Тарко-Сале,NA,64.9086851,77.8030868,NA,NA,Пуровский район,Ямало-Ненецкий автономный округ,Komi-Zyrian
Тимасикт,13,61.923952,52.1771906,деревня,Нёбдино,Корткеросский район,Республика Коми,Komi-Zyrian
Тимушбор,83,63.1282267,55.9730056,посёлок,Митрофан-Дикост,Троицко-Печорский район,Республика Коми,Komi-Zyrian
Тимшер,1082,61.9023869,55.1147295,посёлок,Тимшер,Усть-Куломский район,Республика Коми,Komi-Zyrian
Тобысь,83,63.2767989,53.0722917,посёлок,NA,Городской округ Ухта,Республика Коми,Komi-Zyrian
Том,740,64.4979132,53.3685276,посёлок,Том,Ижемский район,Республика Коми,Komi-Zyrian
Тракт,764,62.6989281,51.287722,посёлок,Тракт,Княжпогостский район,Республика Коми,Komi-Zyrian
Троицк,240,62.2294859,52.7213834,деревня,Богородск,Корткеросский район,Республика Коми,Komi-Zyrian
Троицко-Печорск,7276,62.7144611,56.1853788,пгт,Троицко-Печорск,Троицко-Печорский район,Республика Коми,Komi-Zyrian
Трофимовская,67,61.9064564,52.0983308,деревня,Нёбдино,Корткеросский район,Республика Коми,Komi-Zyrian
Трубоседъёль,80,64.8921668,55.7403234,посёлок,Каджером,Печора,Республика Коми,Komi-Zyrian
Трусово,668,65.4619632,51.3768779,село,Трусово,Усть-Цилемский район,Республика Коми,Komi-Zyrian
Туискерес,208,62.1628579,50.2620757,деревня,Кожмудор,Усть-Вымский район,Республика Коми,Komi-Zyrian
Тупицыно,15,61.9972074,50.4175043,деревня,Палевицы,Сыктывдинский район,Республика Коми,Komi-Zyrian
Туръя,120,62.8233667,50.6431508,село,Туръя,Княжпогостский район,Республика Коми,Komi-Zyrian
Тыдор,13,62.197655,50.1602559,деревня,Айкино,Усть-Вымский район,Республика Коми,Komi-Zyrian
Удор,24,62.5911661,50.8271065,деревня,Емва,Княжпогостский район,Республика Коми,Komi-Zyrian
Уег,190,65.7385875,52.0655704,село,Уег,Усть-Цилемский район,Республика Коми,Komi-Zyrian
Ужга,158,60.5175552,51.0314053,село,Ужга,Койгородский район,Республика Коми,Komi-Zyrian
Ульяново,130,61.8235617,53.5563097,посёлок,Кужба,Усть-Куломский район,Республика Коми,Komi-Zyrian
Уляшево,17,65.4347922,57.0299004,деревня,Кожва,Печора,Республика Коми,Komi-Zyrian
